index,title,creator,date,contributor,publisher,description,authorlink,cataloglink,links,notes,type,subject,identifier,findingAids
329,Das alte Recht der salischen Franken : eine Beilage zur deutschen Verfassungsgeschichte,"['Waitz, Georg, 1813-1886. $$QWaitz, Georg, 1813-1886.', 'von Georg Waitz.']",1846,"Müllenhoff, K. (Karl), 1818-1884.$$QMüllenhoff, K. (Karl), 1818-1884.","Kiel : Schwers'sche Buchhandlung, 1846.",,"?limit=30&query=facet_creator,exact,Waitz++Georg++1813-1886.+$$QWaitz++Georg++1813-1886.","<a href=""http://id.lib.harvard.edu/alma/990037407550203941/catalog"">http://id.lib.harvard.edu/alma/990037407550203941/catalog</a>",,"""Die deutschen Wörter der Lex Salica, von Prof. K. Müllenhoff"": p. [269]-295.""Der Text der Lex Salica"" (in Latin): p. [215]-268.Includes bibliographical footnotes.",book,"['Salic law.', 'Law, Germanic.', 'German language -- Etymology.']","['OCLC: 1035216845', 'HOLLIS+: 990037407550203941']",
330,Zur äusseren geschichte von Kaiser Ludwigs oberbayerischem land- und stadtrechte. Vorgetragen bei der fünfundzwanzigjährigen stiftungsfeier des His torischen vereines von Oberbayern am 26. mai 1863,"Rockinger, Ludwig, 1824-1914. $$QRockinger, Ludwig, 1824-1914.",1863,,"Müchen, Druck von dr. Wolf & sohn, 1863.",,"?limit=30&query=facet_creator,exact,Rockinger++Ludwig++1824-1914.+$$QRockinger++Ludwig++1824-1914.","<a href=""http://id.lib.harvard.edu/alma/990035335420203941/catalog"">http://id.lib.harvard.edu/alma/990035335420203941/catalog</a>",,Aus dem xxiii. bande des Oberbayerischen archivvs besonders abgedruckt.,book,"['Municipal law -- Germany -- Bavaria.', 'Justice, Administration of -- Germany -- Bavaria -- Middle Ages.', 'Constitutional history -- Germany -- Bavaria.']","['OCLC: 27280350', 'HOLLIS+: 990035335420203941']",
331,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
332,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
333,De regalium notione et de salinarum iure regali commentarii scripsit Hugo Böhlau,"Böhlau, Hugo Heinrich Albert",1855,,Vimariae,"['4 p. l., 20 p., 1 l., xviii, [7] p', '""Index auctorum"": [7] p. at end']","?limit=30&query=facet_creator,exact,Böhlau++Hugo+Heinrich+Albert",,,,book,Mining Law ; Salt Mines And Mining,HOLLIS+:,
334,Über die anfänge der vassallität,"['Waitz, Georg, 1813-1886. $$QWaitz, Georg, 1813-1886.', 'Von Georg Waitz. Aus dem siebenten bande der Abhandlungen der Königlichen gesellschaft der wissenschaften zu Göttingen.']",1856,,"Göttingen : Dieterich, 1856.",,"?limit=30&query=facet_creator,exact,Waitz++Georg++1813-1886.+$$QWaitz++Georg++1813-1886.","<a href=""http://id.lib.harvard.edu/alma/990051196030203941/catalog"">http://id.lib.harvard.edu/alma/990051196030203941/catalog</a>",,,book,Feudalism.,"['OCLC: 4325734', 'HOLLIS+: 990051196030203941']",
335,Zeugen und Inquisitionsbeweis der Karolingischen Zeit,"Brunner, Heinrich",1866,,Wien: Hof- und Staatsdruckerei,"['165 p.', 'Reprinted from Sitzungsberichte der philhist. Klasse der kais. Akademie der Wissenschaften, Bd. 60, p. 343']","?limit=30&query=facet_creator,exact,Brunner++Heinrich",,,,book,"Evidence, Criminal (Frankish Law) ; Witnesses (Frankish Law)",HOLLIS+:,
336,De nautico foenore ..,"Goldschmidt, Julian Gustav",1866,,Berolini: Draegeriana (C. Feicht),"['4 p. l., 78, [2] p', '""Vita"": p. [79]', 'Inaug.-Diss.--Berlin', 'Bibliographical foot-notes']","?limit=30&query=facet_creator,exact,Goldschmidt++Julian+Gustav",,,,book,,HOLLIS+:,
337,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
338,Die Gesetzgebung der römischen Kirche zur Zeit Gregors VII (Book Review),,,,,,,,,,review,History & Archaeology;,"['HOLLIS+:', 'ISSN: 00182613']",
339,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
340,Beiträge zur Geschichte der Quellen des Kirchenrechts und des römischen Rechts im Mittelalter,"['Hüffer, Hermann, 1830-1905. $$QHüffer, Hermann, 1830-1905.', 'von Hermann Hüffer.']",1862,,"Münster : Druck und Verlag der Aschendorff'schen Buchh., 1862.",,"?limit=30&query=facet_creator,exact,Hüffer++Hermann++1830-1905.+$$QHüffer++Hermann++1830-1905.","<a href=""http://id.lib.harvard.edu/alma/990038176130203941/catalog"">http://id.lib.harvard.edu/alma/990038176130203941/catalog</a>",,Includes bibliographical references.,book,"['Canon law -- Sources.', 'Canon law -- History -- To 1500.', 'Canon law -- Roman influences.', 'Roman law -- Reception.', 'Law, Medieval.']","['OCLC: 19432253', 'HOLLIS+: 990038176130203941']",
341,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
342,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
343,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
344,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
345,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
346,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
347,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
348,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
349,"lus Romanum Medii Aevi, auspice Collegio antiqui iuris studiis provehendis „Société d'histoire des droits de l'antiquité“. Pars I, 2b aaa; Pars I, 2b aa δ; Pars I, 2b bb ß; Pars 1,5b cc; Pars V, 5a; Pars V, 13b. lus Romanum Medii Aevi, Subsidia I: Indices Corporis iuris civilis iuxta vetustiores editiones cum criticis collatas, Pars I: Index titulorum, moderante Hugone Mcolini curavit Franca Sinatti d'Amico; Pars II: Index legum, moderante Hugone Mcolini curavit Franca Sinatti d'Amico, 3 vol","Feenstra, Robert",,,Böhlau Verlag GmbH & Co.KG,,"?limit=30&query=facet_creator,exact,Feenstra++Robert",,,,article,,"['HOLLIS+:', 'ISSN: 0323-4096']",
350,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
351,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
352,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
353,Deutsche rechtsgeschichte (mit ausschluss der verfassungsgeschichte),"['Schwerin, Claudius, Freiherr von, 1880-1944. $$QSchwerin, Claudius, Freiherr von, 1880-1944.', 'von dr. Claudius frh. v. Schwerin.']",1915,,"Leipzig [etc.] B. G. Teubner, 1915.",,"?limit=30&query=facet_creator,exact,Schwerin++Claudius++Freiherr+von++1880-1944.+$$QSchwerin++Claudius++Freiherr+von++1880-1944.","<a href=""http://id.lib.harvard.edu/alma/990035941630203941/catalog"">http://id.lib.harvard.edu/alma/990035941630203941/catalog</a>",,"""Verzeichnis der abkürzungen"": p. [ii]-iii.",book,Law -- Germany -- History.,"['OCLC: 3040288', 'HOLLIS+: 990035941630203941']",
354,Corpus scriptorum ecclesiasticorum Latinorum,,1866,"['Kaiserl. Akademie der Wissenschaften in Wien.$$QKaiserl. Akademie der Wissenschaften in Wien.', 'Akademie der Wissenschaften in Wien.$$QAkademie der Wissenschaften in Wien.', 'Österreichische Akademie der Wissenschaften.$$QÖsterreichische Akademie der Wissenschaften.']",Vindobonae [i.e. Vienna] : Hoelder-Pichler-Tempsky,,,"<a href=""http://id.lib.harvard.edu/alma/990001293210203941/catalog"">http://id.lib.harvard.edu/alma/990001293210203941/catalog</a>",,"Began in 1866.Imprint varies.Each volume has also special title page.Vol. 25:1 called Nova series, v. 10.Issued by: Academia Litterarum Caesarae Vindobonensis, v. 1-70; by: Academia Scientiarum Austriaca, v. 71-Description based on: Vol. 90, published in 1992.",journal,"['Fathers of the church.', 'Fathers of the church, Latin.']","['OCLC: 1565180', 'HOLLIS+: 990001293210203941', 'ISSN: 1816-3882']",
355,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
356,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
357,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
358,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
359,Decretales pseudo-isidorianae et capitula angilramni,,1863,"Hinschius, Paul",Lipsiae: ex Officina Bernhardi Tauchnitz,"CCXXXVIII, 770 p.",,,,,book,Derecho Canónico--Historia--Fuentes--Obras Anteriores A 1900,HOLLIS+:,
360,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
361,"['Fontes rerum Germanicarum. Geschichtsquellen Deutschlands', 'Geschichtsquellen Deutschlands']","['Böhmer, Johann Friedrich, 1795-1863. $$QBöhmer, Johann Friedrich, 1795-1863.', 'hrsg. von Joh. Friedrich Boehmer ...']",1843-68,"['Böhmer, Johann Friedrich, 1795-1863.$$QBöhmer, Johann Friedrich, 1795-1863.', 'Huber, Alfons, 1834-1898.$$QHuber, Alfons, 1834-1898.']","Stuttgart, J.G. Cotta, 1843-68.",,"?limit=30&query=facet_creator,exact,Böhmer++Johann+Friedrich++1795-1863.+$$QBöhmer++Johann+Friedrich++1795-1863.","<a href=""http://id.lib.harvard.edu/alma/990028993150203941/catalog"">http://id.lib.harvard.edu/alma/990028993150203941/catalog</a>",,,book,Germany -- History -- Sources.,"['OCLC: 7698824', 'HOLLIS+: 990028993150203941']",
362,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
363,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
364,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
365,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
366,Nithards vier Bücher Geschichten,"['Nithard, -844? $$QNithard, -844?', 'nach der Ausgabe der Monumenta Germaniae übersetzt von Julius von Jasmund.']",1851,"Jasmund, Julius von.$$QJasmund, Julius von.","Berlin : W. Besser (Franz Duncker), 1851.",,"?limit=30&query=facet_creator,exact,Nithard++-844?+$$QNithard++-844?","<a href=""http://id.lib.harvard.edu/alma/990109570270203941/catalog"">http://id.lib.harvard.edu/alma/990109570270203941/catalog</a>",,,book,"['Franks -- History -- 814-843.', 'Germany -- History -- Sources.']","['OCLC: 81500037', 'HOLLIS+: 990109570270203941']",
367,"Concordantiae bibliorum sacrorum : vultagae editionis, ad recognitionem jussu Sixti V. Pontif. Max.","['Dutripon, F. P. (François Pascal), 1793-1867. $$QDutripon, F. P. (François Pascal), 1793-1867.', 'Bibliis adhibitam recensitae atque emendatae ac plusquam viginti quinque millibus versiculis auctae insuper et notis historicis, geographics, chronicis locupletatae, cura et studio F. P. Dutripon.']",1853,,"Parisiis : apud E. Belin, 1853.",,"?limit=30&query=facet_creator,exact,Dutripon++F.+P.+(François+Pascal)++1793-1867.+$$QDutripon++F.+P.+(François+Pascal)++1793-1867.","<a href=""http://id.lib.harvard.edu/alma/990095814350203941/catalog"">http://id.lib.harvard.edu/alma/990095814350203941/catalog</a>",,,book,"Bible -- Concordances, Latin.","['OCLC: 52298751', 'HOLLIS+: 990095814350203941']",
368,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
369,Geschichte der deutschen Literatur : mit einem Abriss der Geschichte der deutschen Sprache und Metrik,"['Bötticher, Gotthold, 1850-1919. $$QBötticher, Gotthold, 1850-1919.', 'bearb. von G. Bötticher und K. Kinzel.']",1903,"['Kinzel, Karl, 1849-1935 [joint author]$$QKinzel, Karl, 1849-1935', 'Bötticher, Gotthold, 1850-1919. --Denkmäler der älteren deutschen Literatur ... --$$QBötticher, Gotthold, 1850-1919.', 'Kinzel, Karl, 1849-1935 [author]$$QKinzel, Karl, 1849-1935']","Halle a.S. : Buchhandlung des Waisenhauses, 1903.",,"?limit=30&query=facet_creator,exact,Bötticher++Gotthold++1850-1919.+$$QBötticher++Gotthold++1850-1919.","<a href=""http://id.lib.harvard.edu/alma/990009053810203941/catalog"">http://id.lib.harvard.edu/alma/990009053810203941/catalog</a>",,Added t. p.: Anhang zu den Denkmälern der Älteren deutschen Literatur ...,book,"['German literature -- History and criticism.', 'German language -- History.']","['OCLC: 7083227', 'HOLLIS+: 990009053810203941']",
370,Über Gerbert's wissenschaftliche und politische Stellung. 1. Abth,"Büdinger, Max, 1828-1902. $$QBüdinger, Max, 1828-1902.",[1851],,Marburg [1851],,"?limit=30&query=facet_creator,exact,Büdinger++Max++1828-1902.+$$QBüdinger++Max++1828-1902.","<a href=""http://id.lib.harvard.edu/alma/990029497270203941/catalog"">http://id.lib.harvard.edu/alma/990029497270203941/catalog</a>",,Thesis note:  Inaug.-Diss.,dissertation,"Sylvester -- II, -- Pope, -- approximately 945-1003.","['OCLC: 82930021', 'HOLLIS+: 990029497270203941']",
371,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
372,"De Sardinia insula : contentioni inter pontifices Romanos atque imperatores materiam praebente, Corsicanae quoque historiae ratione adhibita","['Dove, Alfred Wilhelm, 1844-1916. $$QDove, Alfred Wilhelm, 1844-1916.', 'scripsit Alfredus Dove.']",1866,,"Berolini : Mittlerum et filium, 1866.",,"?limit=30&query=facet_creator,exact,Dove++Alfred+Wilhelm++1844-1916.+$$QDove++Alfred+Wilhelm++1844-1916.","<a href=""http://id.lib.harvard.edu/alma/990052329360203941/catalog"">http://id.lib.harvard.edu/alma/990052329360203941/catalog</a>",,,book,Sardinia (Italy) -- History.,"['OCLC: 239828639', 'HOLLIS+: 990052329360203941']",
373,"Vom Reichsfuerstenstande. Forschungen zur Geschichte der Reichsverfassung zunæchst im XII. und XIII. Jahrhunderte,","['Ficker, Julius, 1826-1902. $$QFicker, Julius, 1826-1902.', 'von Dr. Julius Ficker.']",1861-,,"Innsbruck, Wagner, 1861-",,"?limit=30&query=facet_creator,exact,Ficker++Julius++1826-1902.+$$QFicker++Julius++1826-1902.","<a href=""http://id.lib.harvard.edu/alma/990051689350203941/catalog"">http://id.lib.harvard.edu/alma/990051689350203941/catalog</a>",,"""Verzeichniss der abgekürzt angeführten Werke"": v.1, p. [391]-395.",book,"['Nobility -- Germany.', 'Constitutional history -- Holy Roman Empire.', 'Germany -- Estate.']","['OCLC: 2909068', 'HOLLIS+: 990051689350203941']",
374,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
375,Geschichte des langobardischen Herzogthums Spoleto von 570-774,"Jenny, August",1890,,,"['88 p', 'Thesis (doctoral)--Universitat Basel']","?limit=30&query=facet_creator,exact,Jenny++August",,,,book,,HOLLIS+:,
376,Geschichte der deutschen sprache,"Hirt, Herman Alfred",1919,,München: Beek,"xi, 301 p","?limit=30&query=facet_creator,exact,Hirt++Herman+Alfred",,,,book,German Language--History,HOLLIS+:,
377,Kaiser Heinrich VI. : der unbekannte Staufer,"['Jericke, Hartmut. $$QJericke, Hartmut.', 'Hartmut Jericke.']",2008,,"Gleichen : Muster-Schmidt, 2008.",,"?limit=30&query=facet_creator,exact,Jericke++Hartmut.+$$QJericke++Hartmut.","<a href=""http://id.lib.harvard.edu/alma/990119578610203941/catalog"">http://id.lib.harvard.edu/alma/990119578610203941/catalog</a>",,Includes bibliographical references (p. 134-135).,book,"['Henry -- VI, -- Holy Roman Emperor, -- 1165-1197.', 'Holy Roman Empire -- History -- Henry VI, 1190-1197.']","['OCLC: 277226961', 'HOLLIS+: 990119578610203941', 'ISBN: 9783788101589', 'ISBN: 378810158X']",
378,Geschichte der deutschen kaiserzeit,"Giesebrecht, Wilhelm Von",1860,,Braunschweig: Schmetschke und Sohn,6 v,"?limit=30&query=facet_creator,exact,Giesebrecht++Wilhelm+Von",,,,book,Germany--History--843-1273,HOLLIS+:,
379,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
380,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
381,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
382,Altdeutsches wörterbuch,"Schade, Oskar. $$QSchade, Oskar.",1866,,"Halle, 1866.",,"?limit=30&query=facet_creator,exact,Schade++Oskar.+$$QSchade++Oskar.","<a href=""http://id.lib.harvard.edu/alma/990067537620203941/catalog"">http://id.lib.harvard.edu/alma/990067537620203941/catalog</a>",,"In his Altdeutsches lesebuch,etc.,1862,etc.,II.",book,,"['OCLC: 235941458', 'HOLLIS+: 990067537620203941']",
383,Lehrbuch des katholischen und evangelischen Kirchenrechts,"Friedberg, Emil Albert",1909,,Leipzig: B. Tauchnitz,"['xv, 656 p.', 'Includes index', 'Includes numerous references in Latin', '""Übersicht der Literatur"": p. 3-12']","?limit=30&query=facet_creator,exact,Friedberg++Emil+Albert",,,,book,Canon Law ; Ecclesiastical Law--Germany,HOLLIS+:,
384,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
385,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
386,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
387,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
388,Deutsche Geschichtsquellen im Mittelalter. Deutsche Kaiserzeit,"['Wattenbach, Wilhelm, 1819-1897. $$QWattenbach, Wilhelm, 1819-1897.', 'Herausgegeben von Robert Holtzmann.']",1942-,"Holtzmann, Robert, 1873-1946.$$QHoltzmann, Robert, 1873-1946.","Berlin, E. Ebering, 1942-",,"?limit=30&query=facet_creator,exact,Wattenbach++Wilhelm++1819-1897.+$$QWattenbach++Wilhelm++1819-1897.","<a href=""http://id.lib.harvard.edu/alma/990037796200203941/catalog"">http://id.lib.harvard.edu/alma/990037796200203941/catalog</a>",,,book,,"['OCLC: 12002696', 'HOLLIS+: 990037796200203941']",
389,Forschungen zur Reichs- und Rechtsgeschichte Italiens,"Ficker, Julius",1868,,Innsbruck: Wagnerșche Universitat-Buchhandlung,4 v. in 2,"?limit=30&query=facet_creator,exact,Ficker++Julius",,,,book,Law--Italy--History ; Italy--Politics And Government ; Italy--History;,HOLLIS+:,
390,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
391,Historia de expeditione Friderici Imperatoris,Ansbertus,1827,"Dobrovský, Josef",Pragae: apud Cajetanum de Mayregg,"['xiv, 138, [8] p.', 'Includes footnotes and indexes']","?limit=30&query=facet_creator,exact,Ansbertus",,,,book,"Holy Roman Empire--History--Frederick I, 1152-1190 ; Frederick",HOLLIS+:,
392,Ministerialität und bürgerthum im 11. und 12. jahrhundert,"['Nitzsch, Karl Wilhelm, 1818-1880. $$QNitzsch, Karl Wilhelm, 1818-1880.', 'Ein beitrag zur deutschen städtegschichte von K. W. Nitzsch.']",1859,,"Leipzig, B. G. Teubner, 1859.",,"?limit=30&query=facet_creator,exact,Nitzsch++Karl+Wilhelm++1818-1880.+$$QNitzsch++Karl+Wilhelm++1818-1880.","<a href=""http://id.lib.harvard.edu/alma/990034381760203941/catalog"">http://id.lib.harvard.edu/alma/990034381760203941/catalog</a>",,Added t.-p.: Vorarbeiten zur geschichte der staufischen periode Band I.,book,"['Municipal government -- Germany.', 'Germany -- History -- Hohenstaufen, 1138-1254.']","['OCLC: 1940534', 'HOLLIS+: 990034381760203941']",
393,De die natali liber,Censorinus,1867,"Hultsch, Fridericus",Lipsiae: Teubner,"xiii, 98 p","?limit=30&query=facet_creator,exact,Censorinus",,,,book,"Chronology, Historical ; Calendar;",HOLLIS+:,
394,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
395,"Die volkssouveränität in ihrer wahren gestalt,","['Thilo, Johann Ludwig Christoph. $$QThilo, Johann Ludwig Christoph.', 'von dr. Ludewig Thilo ... Nebst einem anhange: Ist Friedrich Murhard ein compilator?']",1833,,"Breslau, F. Hentze, 1833.",,"?limit=30&query=facet_creator,exact,Thilo++Johann+Ludwig+Christoph.+$$QThilo++Johann+Ludwig+Christoph.","<a href=""http://id.lib.harvard.edu/alma/990067333530203941/catalog"">http://id.lib.harvard.edu/alma/990067333530203941/catalog</a>",,,book,"['Murhard, Frédéric, -- 1779-1853.', 'Sovereignty.', 'Constitutional law.', 'Monarchy.', 'Democracy.']","['OCLC: 30083495', 'HOLLIS+: 990067333530203941']",
396,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
397,Passau,"Winkler, Gerhard Bernhard",01 April 2011,,"Leiden, Koninklijke Brill NV",,"?limit=30&query=facet_creator,exact,Winkler++Gerhard+Bernhard",,,,reference_entry,,"['HOLLIS+:', 'ISBN: 9789004146662', 'ISBN: 9004146660', 'ISSN: 1877-5888']",
398,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
399,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
