index,title,creator,date,contributor,publisher,description,authorlink,cataloglink,links,notes,type,subject,identifier,findingAids
400,Corpus iuris germanici antiqui,"Walter, Ferdinand",1824,Visigoths,Berolini: impensis G. Reimeri,"['3 v.', 'Includes bibliographical references', 't. I. Legem Salicam, Ripuariorum, Alamannorum Baiuvariorum, Burgundionum, Frisionum, Angliorum et Werinorum, Saxonum, Edictum Theoderici, Leges Wisogothorum, et edicta regum Langobardorum continens -- t. II. Capitularia regum Francorum usque ad Ludovicum Pium continens -- t. III. Capitularia regum Francorum et imperatorum post Ludovicum Pium, veterum formularum collectionem amplissimam, capitula regum et imperatorum legibus Langobardorum addita, et appendicem variorum monumentorum continens']","?limit=30&query=facet_creator,exact,Walter++Ferdinand",,,,book,"Law--France ; Law, Germanic--Sources ; Law, Germanic",HOLLIS+:,
401,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
402,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
403,Die ältesten urkunden des erzbisthums Hamburg-Bremen ..,"Koppmann, Karl",1866,,Hamburg: Druck von T.G. Meissner,"['1 p. l., 91 p', 'Inaug.-diss.--Göttingen']","?limit=30&query=facet_creator,exact,Koppmann++Karl",,,,book,Catholic Church,HOLLIS+:,
404,II. Die Testierfreiheit in der Geschichte des Deutschen Rechts im späten Mittelalter und in der frühen Neuzeit,"Landau, Peter",,,Böhlau Verlag GmbH & Co.KG,,"?limit=30&query=facet_creator,exact,Landau++Peter",,,,article,,"['HOLLIS+:', 'ISSN: 0323-4045']",
405,Grammatici latini,ex recensione Henrici Keilii.,1981,"Keil, Heinrich, 1822-1894.$$QKeil, Heinrich, 1822-1894.","Hildesheim : G. Olms Verlagsbuchhandlung, 1981.",,,"<a href=""http://id.lib.harvard.edu/alma/990010036100203941/catalog"">http://id.lib.harvard.edu/alma/990010036100203941/catalog</a>",,Reprint of the 1855-1880 edition published in Leipzig.Includes indexes.,book,"['Latin language -- Grammar -- Early works to 1500.', 'Latin language -- Metrics and rhythmics.']","['OCLC: 8560752', 'HOLLIS+: 990010036100203941']",
406,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
407,Ausführliches lateinisch-deutsches Handwörterbuch; aus den Quellen zusammengetragen und mit besonderer Bezugnahme auf Synonymik und Antiquitäten unter Berücksichtigung der besten Hilfsmittel ausgearbeitet,"['Georges, Karl Ernst, 1806-1895. $$QGeorges, Karl Ernst, 1806-1895.', 'von Karl Ernst Georges.']",1969,"Georges, Heinrich, 1852-1921.$$QGeorges, Heinrich, 1852-1921.","Basel, Schwabe, 1969.",,"?limit=30&query=facet_creator,exact,Georges++Karl+Ernst++1806-1895.+$$QGeorges++Karl+Ernst++1806-1895.","<a href=""http://id.lib.harvard.edu/alma/990015855230203941/catalog"">http://id.lib.harvard.edu/alma/990015855230203941/catalog</a>",,Reprint of 1913 ed.,book,Latin language -- Dictionaries -- German.,"['OCLC: 13233003', 'HOLLIS+: 990015855230203941']",
408,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
409,Geschichts-Tabellen von Italien,"Bezold, Ernst",1874,,Leipzig: J.A. Barth,65 p,"?limit=30&query=facet_creator,exact,Bezold++Ernst",,,,book,Italy--History--Chronology,HOLLIS+:,
410,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
411,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
412,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
413,Anleitung zum Lateinischschreiben in Regeln und Beispielen zur Uebung,"Krebs, Johann Philipp",1860,,Frankfurt am Main: Brönner,"viii, 841 p","?limit=30&query=facet_creator,exact,Krebs++Johann+Philipp",,,,book,,HOLLIS+:,
414,"Pontificale Romanum Clementis VIII. ac Urbani VIII. : jussu editum, nuper vero a Benedicto XIV. recognitum & castigatum, et ad plurimum usum in commodiorem formam redactum",Catholic Church.$$QCatholic Church.,1786,"['Clement VIII, Pope, 1536-1605.$$QClement VIII, Pope, 1536-1605.', 'Urban VIII, Pope, 1568-1644.$$QUrban VIII, Pope, 1568-1644.', 'Benedict XIV, Pope, 1675-1758.$$QBenedict XIV, Pope, 1675-1758.']","Venetiis : Sumptibus Jo : Antonii Pezzana, 1786.",,"?limit=30&query=facet_creator,exact,Catholic+Church.$$QCatholic+Church.","<a href=""http://id.lib.harvard.edu/alma/990013661550203941/catalog"">http://id.lib.harvard.edu/alma/990013661550203941/catalog</a>",,,book,,HOLLIS+: 990013661550203941,
415,Anleitung zur lateinischen palaeographie,"Wattenbach, Wilhelm",1878,,Leipzig: S. Hirzel,"iv, [2]","?limit=30&query=facet_creator,exact,Wattenbach++Wilhelm",,,,book,"Paleography, Latin",HOLLIS+:,
416,"['Marci Tullii Ciceronis opera', 'Works.1827']","Cicero, Marcus Tullius",1827,"Nobbe, Karl Friedrich August ; Ernest, Johann August",Lipsiae: Ex officina Car. Tauchnitii,Includes indexes,"?limit=30&query=facet_creator,exact,Cicero++Marcus+Tullius",,,,book,,HOLLIS+:,
417,COMMENTARII DE BELLO GALLICO ET CIVILI..,Caesar (Ed.Baumstark),,,,,"?limit=30&query=facet_creator,exact,Caesar+(Ed.Baumstark)",,,,book,,HOLLIS+:,
418,Historiarum libri qui supersunt omnes,Livy. $$QLivy.,1802,,"Halae, impensis Orphanotrophei, 1802.",,"?limit=30&query=facet_creator,exact,Livy.+$$QLivy.","<a href=""http://id.lib.harvard.edu/alma/990059218140203941/catalog"">http://id.lib.harvard.edu/alma/990059218140203941/catalog</a>",,,book,,"['OCLC: 79195872', 'HOLLIS+: 990059218140203941']",
419,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
420,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
421,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
422,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
423,Sämtliche Werke,"['Marenzio, Luca, 1553-1599. $$QMarenzio, Luca, 1553-1599.', 'Luca Marenzio ; herausgegeben von Alfred Einstein.']",1929-1931,"Einstein, Alfred, 1880-1952.$$QEinstein, Alfred, 1880-1952.","Leipzig : Breitkopf & Härtel, 1929-1931.",,"?limit=30&query=facet_creator,exact,Marenzio++Luca++1553-1599.+$$QMarenzio++Luca++1553-1599.","<a href=""http://id.lib.harvard.edu/alma/990026156790203941/catalog"">http://id.lib.harvard.edu/alma/990026156790203941/catalog</a>",,For five voices (SSATB)Italian words also printed as text.No more published.Pref. and bibliography of sources in German.Publisher's no.: D.M.G. 5 (v. 1); D.M.G. 9 (v. 2.).,music,"Madrigals, Italian.","['OCLC: 16545179', 'HOLLIS+: 990026156790203941']",
424,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
425,"Régeste genevois ou, Répertoire chronologique et analytique des documents imprimés relatifs à l'histoire de la ville et du diocèse de Genève avant l'année 1312. Pub. par la Société d'histoire et d'archéologie de Genève","Lullin, Paul Elisée, 1800-1872. $$QLullin, Paul Elisée, 1800-1872.",1866,"['Le Fort, Charles Guillaume, 1821-1888.$$QLe Fort, Charles Guillaume, 1821-1888.', 'Le Fort, Charles Guillaume, 1821-1888 [editor]$$QLe Fort, Charles Guillaume, 1821-1888', ""Société d'histoire et d'archéologie de Genève.$$QSociété d'histoire et d'archéologie de Genève.""]","Genève, Chez les principaux libraires, 1866.",,"?limit=30&query=facet_creator,exact,Lullin++Paul+Elisée++1800-1872.+$$QLullin++Paul+Elisée++1800-1872.","<a href=""http://id.lib.harvard.edu/alma/990018591120203941/catalog"">http://id.lib.harvard.edu/alma/990018591120203941/catalog</a>",,"""Introduction"" signed: Paul Lullin...Charles Le Fort.Bibliography: p. [xxii]-xxvii.",book,"['Catholic Church. -- Diocese of Geneva (Switzerland) -- History -- Sources.', 'Geneva (Switzerland) -- History -- Sources.', 'Geneva (Bishopric) -- History -- Sources.']","['OCLC: 5140525', 'HOLLIS+: 990018591120203941']",
426,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
427,Corpus Juris Canonici,,2018,,,"['Corpus Juris Canonici, English Corpus of Canon Law, set of six compilations of law in the Roman Catholic Church that provided the chief source of ecclesiastical legislation from the Middle Ages until it was superseded in 1917 by the Codex Juris Canonici ( Code of Canon Law ). The Corpus included four official collections: the Decretum Gratiani (“Decree of Gratian”), written between 1141 and 1150; the Decretals of Pope Gregory IX (1234); the Liber Sextus (“Book Six”) of Pope Boniface VIII (1298); and the Clementinae of Pope Clement V (1317); and two private collections: the Extravagantes of Pope John XXII (1325) and the Extravagantes communes (“Decretals Commonly Circulating”)—the decretals, or replies of the pope to particular questions of church discipline, from Pope Boniface VIII to Pope Sixtus IV—both of which were compiled at the beginning of the 16th century by Jean Chappuis, a canonist at the University of Paris. The title Corpus Juris Canonici was first applied to the six collections by Pope Gregory XIII in the document Cum pro munere (1580), which approved an edition of the works as textually authentic.', 'While these collections did not form a closed body of ecclesiastical law prohibiting any new laws from being added, no new official collections of church law were promulgated between the Clementinae and the Council of Trent (1545–63). The bishops at the Council of Trent requested new critical editions of Sacred Scripture, of liturgical books, and of the Corpus Juris Canonici. In response to this request, a commission of cardinals and canonists prepared a scientific critical edition of the Corpus between 1560 and 1582, the year in which Gregory XIII issued the revised text of the Corpus and ordered its use in schools of canon law and in church courts. It remained the preponderant influence in Roman Catholic Church law until 1917, when the Code of Canon Law was adopted.']",,,,,reference_entry,Council of Trent,HOLLIS+:,
428,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
429,Nachträge zum Codex diplomaticus Anhaltinus: Ein Beitrag zur Geschichte des anhaltischen Archivwesens,"Struck, Wolf-Heino",,,Böhlau Verlag GmbH & CIE.,,"?limit=30&query=facet_creator,exact,Struck++Wolf-Heino",,,,article,,"['HOLLIS+:', 'ISSN: 0003-9497']",
430,"Franz-Josef Jakobi, Wibald von Stablo und Corvey (1098-1158), benediktinischer Abt in der frühen Stauferzeit","Niederkorn, Jan",,,,,"?limit=30&query=facet_creator,exact,Niederkorn++Jan",,,,article,,"['HOLLIS+:', 'ISSN: 0073-8484']",
431,P. Terentii Afri Comoediae,"Terencio Africano, Publio",1727,"Bentley, Richard ((Amsterdam)) ; Houbraken, Jacob ((Amsterdam)) ; Smith, G. ((Amsterdam)) ; Wetstein, R ((Amsterdam)) ; Biblioteca Complutense (Alcalá de Henares)",Amsteloedami: apud R. et J. Wetstenios et G. Smith,"[32], 444, [182], [8], 87, [96] p., [2] h. de grab.","?limit=30&query=facet_creator,exact,Terencio+Africano++Publio",,,,book,,HOLLIS+:,
432,Diplomata et chartæ merovingicæ ætatis in archivo franciæ asservata,,1848-51,,"Paris, 1848-51.",,,"<a href=""http://id.lib.harvard.edu/alma/990037110860203941/catalog"">http://id.lib.harvard.edu/alma/990037110860203941/catalog</a>",,,book,,"['OCLC: 17864152', 'HOLLIS+: 990037110860203941']",
433,Opera omnia. Beiheft,"Dietrich, von Freiberg, approximately 1250-approximately 1310. $$QDietrich, von Freiberg, approximately 1250-approximately 1310.",1977-,,"HAMBURG : MEINER, 1977-",,"?limit=30&query=facet_creator,exact,Dietrich++von+Freiberg++approximately+1250-approximately+1310.+$$QDietrich++von+Freiberg++approximately+1250-approximately+1310.","<a href=""http://id.lib.harvard.edu/alma/990001196940203941/catalog"">http://id.lib.harvard.edu/alma/990001196940203941/catalog</a>",,,journal,,"['OCLC: 235089484', 'HOLLIS+: 990001196940203941']",
434,Corpus juris civilis,H. Koller,01 February 2017,,"Leiden, Koninklijke Brill NV",,"?limit=30&query=facet_creator,exact,H.+Koller",,,,reference_entry,,"['HOLLIS+:', 'ISBN: 9789004337862', 'ISBN: 9783777214122', 'ISBN: 9004337865', 'ISBN: 3777214124']",
435,De sacris aedificiis a Constantino Magno constructis :synopsis historica,"['Ciampini, Giovanni Giusto, 1633-1698. $$QCiampini, Giovanni Giusto, 1633-1698.', 'Joannis Ciampini ...']",1693,"['Fondo Cicognara (Biblioteca apostolica vaticana)$$QFondo Cicognara (Biblioteca apostolica vaticana)', 'Leopoldo Cicognara Program (University of Illinois at Urbana-Champaign)$$QLeopoldo Cicognara Program (University of Illinois at Urbana-Champaign)']","Romae : Apud Joannem Jacobum Komarek ..., 1693.",,"?limit=30&query=facet_creator,exact,Ciampini++Giovanni+Giusto++1633-1698.+$$QCiampini++Giovanni+Giusto++1633-1698.","<a href=""http://id.lib.harvard.edu/alma/990126680360203941/catalog"">http://id.lib.harvard.edu/alma/990126680360203941/catalog</a>",,"Includes index. References:  Cicognara, 3672",book,"['Constantine -- I, -- Emperor of Rome, -- -337.', 'Church architecture -- Italy -- Rome.', 'Christian art and symbolism -- Italy -- Rome.', 'Church buildings -- Italy -- Rome.', 'Church decoration and ornament -- Italy -- Rome.', 'Rome (Italy) -- Buildings, structures, etc.']","['OCLC: 249473788', 'HOLLIS+: 990126680360203941']",
436,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
437,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
438,"['Die Gesellschaft für Mittelrheinische Kirchengeschichte : Geschichte ihres 50jährigen Bestehens', 'Cover title:  50 Jahre Gesellschaft für Mittelrheinische Kirchengeschichte']","['Knichel, Martina. $$QKnichel, Martina.', 'von Martina Knichel.']",1998,,"Mainz : Selbstverlag der Gesellschaft für Mittelrheinische Kirchengeschichte, 1998.",,"?limit=30&query=facet_creator,exact,Knichel++Martina.+$$QKnichel++Martina.","<a href=""http://id.lib.harvard.edu/alma/990078391700203941/catalog"">http://id.lib.harvard.edu/alma/990078391700203941/catalog</a>",,Includes bibliographical references (p. 303-324) and index.,book,Gesellschaft für Mittelrheinische Kirchengeschichte -- History.,"['OCLC: 40311686', 'HOLLIS+: 990078391700203941', 'ISBN: 3929135175']",
439,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
440,"['De re militari libri quinque', 'De re militari']","Vegetius Renatus, Flavius",1806,"Schwebel, Nicolaus ; Bessel, F. W ; Oudendorp, Frans van ; Schrijver, Pieter ; Stewechius, Godescalcus",Argentoratum: Societas Bipontina,"xxx, 332 p. [12]","?limit=30&query=facet_creator,exact,Vegetius+Renatus++Flavius",,,,book,Military Art And Science--Early Works To 1800,HOLLIS+:,
441,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
442,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
443,Europäische Geschichte im 18. Jahrhundert Erste Abtheilung: Der Spanische Erbfolge-Krieg. I. Band (Book Review),"Beer, Adolf",,,,,"?limit=30&query=facet_creator,exact,Beer++Adolf",,,,review,History & Archaeology;,"['HOLLIS+:', 'ISSN: 00182613']",
444,Deutsche Dichtung im Mittelalter,"Goedeke, Karl",1871,,Dresden: L. Ehlermann,"['1008 p., 1 ℓ., iv, 79 p', 'Book 12 has special t.-p']","?limit=30&query=facet_creator,exact,Goedeke++Karl",,,,book,"German Poetry--History And Criticism--Middle High German, 1050-1500 ; German Poetry--Middle High German, 1050-1500 ; German Literature--History And Criticism--Old High German, 750-1050 ; German Literature--Old High German, 750-1050",HOLLIS+:,
445,Novum Testamentum : an international quarterly for New Testament and related studies based on international cooperation,,1956,,Leiden : E.J. Brill,,,"<a href=""http://id.lib.harvard.edu/alma/990001336110203941/catalog"">http://id.lib.harvard.edu/alma/990001336110203941/catalog</a>",,"Began with v. 1, fasc. 1 (Jan. 1956).Subtitle varies slightly.Published by: Brill Academic Publishers, July 2000-Suspended May 1957-Sept. 1958.Also issued online.In English, French, and German.Description based on: Vol. 1, fasc. 2 (Apr. 1956); title from cover (surrogate).Latest issue consulted: Vol. 46, fasc. 3 (2004).",journal,"['Bible -- Periodicals.', 'Bible. -- New Testament -- Criticism, interpretation, etc. -- Periodicals.', 'Bible -- Périodiques.', 'Bible. -- New Testament. -- Critique, interprétation, etc. -- Périodiques.', 'Bible.', 'Bible. -- New Testament.']","['OCLC: 1760885', 'HOLLIS+: 990001336110203941', 'ISSN: 0048-1009']",Vols. 1 (1956)-10 (1968). 1 v.; v. 1 (1956)-35 (1993). 1 v.
446,Lateinische Stilistik,"Nägelsbach, Karl Friedrich von, 1806-1859. $$QNägelsbach, Karl Friedrich von, 1806-1859.",1967,"Müller, Iwan von, 1830-1917.$$QMüller, Iwan von, 1830-1917.","Darmstadt, Wissenschaftliche Buchgesellschaft, 1967.",,"?limit=30&query=facet_creator,exact,Nägelsbach++Karl+Friedrich+von++1806-1859.+$$QNägelsbach++Karl+Friedrich+von++1806-1859.","<a href=""http://id.lib.harvard.edu/alma/990034170750203941/catalog"">http://id.lib.harvard.edu/alma/990034170750203941/catalog</a>",,"""Unveränderter fotomechanischer Nachdruck der von Iwan Müller besorgten 9., vermehrten und verbesserten Auflage, Nürnberg 1905.""",book,Latin language -- Style.,"['OCLC: 6173010', 'HOLLIS+: 990034170750203941']",
447,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
448,Geschichte des Ostfränkischen Reichs,"Dümmler, Ernst",1862,Bayerische Akademie Der Wissenschaften,Berlin: Duncker und Humblot,"['2 v', '1. Bd. Ludwig der Deutsche.--2. Bd. Die letzten Karolinger. Konrad I', 'grad,buhr: Vol. 2 lacking']","?limit=30&query=facet_creator,exact,Dümmler++Ernst",,,,book,Carolingians ; Germany--History--843-1273,HOLLIS+:,
449,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
450,Deutsche Geschichte im Zeitalter der Reformation,"Ranke, Leopold Von",1867,,Leipzig: Duncker und Humblot,Contiene: 1. Bd. - 2. Bd. - 3. Bd. - 4. Bd. - 5. Bd. - 6. Bd,"?limit=30&query=facet_creator,exact,Ranke++Leopold+Von",,,,book,"Germany--History--Early Works To 1900--Reform, 1517-1648 ; Alemania--Historia--Obras Anteriores A 1900--1517-1648, Reforma",HOLLIS+:,
451,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
452,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
453,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
454,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
455,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
456,Analytische Geometrie der Ebene und des Raumes für polare Coordinatensysteme,"Grunert, Johann August",1857,,"Greifswald, etc.: C.A. Koch","['[4], viii, 282 p', 'I pl']","?limit=30&query=facet_creator,exact,Grunert++Johann+August",,,,book,,HOLLIS+:,
457,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
458,"AD VITAM HERMANNI CONTRACTI PROLOGUS USSERMANNI. (Germaniae sacrae Prodromus, tom. I, ad calcem Chronici Hermanni.)","Ussermannus, Emilianus",1853,,J.-P. MIGNE,,"?limit=30&query=facet_creator,exact,Ussermannus++Emilianus",,,,book,,HOLLIS+:,
459,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
460,"['Paris, Rouen, Havre, Dieppe, Boulogne, und die drei Eisenbahn-Strassen vom Rhein bis Paris: Handbuch für Reisende', ""Baedeker's Paris.""]",,1864,Karl Baedeker (Firm),Coblenz: K. Baedeker,"['xxxii, 302 p., [25] leaves of plates', 'Includes index', ""Spine title: Baedeker's Paris""]",,,,,book,France--Description And Travel ; Paris (France)--Guidebooks,HOLLIS+:,
461,"['Die Schweiz', 'Issues for <1958>-1975 also have title in French: Suisse']",,1930,Nouvelle Société helvétique.$$QNouvelle Société helvétique.,Erlenbach : Eugen Rentsch Verlag,,,"<a href=""http://id.lib.harvard.edu/alma/990060057610203941/catalog"">http://id.lib.harvard.edu/alma/990060057610203941/catalog</a>",,"Began with issue for 1930; ceased with 46. Jahrg. (1975).Description based on: 1930; title from title page.Latest issue consulted: 46. Jahrg. (1975).Subtitle varies: 1930-58, Ein nationales Jahrbuch; 1959-75, Nationales Jahrbuch der NHG.Each issue for 1959-1975 has also a distinctive title.Issues for 1930- in German; issues for <1958>-1975 chiefly in German with articles also in French or Italian.",journal,Switzerland -- Periodicals.,"['OCLC: 6313602', 'HOLLIS+: 990060057610203941', 'ISSN: 1423-8322']",
462,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
463,"Sprechen die noch Deutsch...? : Deutsche Sprachinseln in Italien, Teil I der Serie","Prader, Luis Thomas",,,,<b>Gloss: </b>Rpt. of five part series in Wiener Sprachblättern www.muttersprache.at.,"?limit=30&query=facet_creator,exact,Prader++Luis+Thomas",,,,article,Language,"['HOLLIS+:', 'ISSN: 0038-8513']",
464,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
465,Vetustiora latinorum scriptorum chronica: ad mss. codices emendata et cum castigatioribus editionibus collata notisque illustrata,"Roncallius, Thomas",1787,,Patavii: apud Jo. Baptistam et filios Penada,"LV p., [1] p. en bl., 762 col.","?limit=30&query=facet_creator,exact,Roncallius++Thomas",,,,book,Literatura Latina--Obras Anteriores A 1800 ; Manuscritos Latinos--Obras Anteriores A 1800,HOLLIS+:,
466,Albius Tibullus und Lygdamus,Tibullus,1811,"Lygdamus ; Voss, Johann Heinrich",Heidelberg: Mohr und Zimmer,"xxxii, 494 p.","?limit=30&query=facet_creator,exact,Tibullus",,,,book,,HOLLIS+:,
467,"['Arriani Nicomediensis expeditio Alexandri', 'Expeditio Alexandri.']","Arriano, Flavio",1829,"Camús, Alfredo Adolfo ((Leipzig)) ; Tauchnitz, Karl ((Leipzig)) ; Tauchnitz, Karl ((Leipzig))",Lipsiae: Sumtibus et typis Caroli Tauchnitii,368 p.,"?limit=30&query=facet_creator,exact,Arriano++Flavio",,,,book,,HOLLIS+:,
468,Die deutschen Monatsnamen,"Schumacher, Karl Heinz. $$QSchumacher, Karl Heinz.",1937,,"Greifswald, L. Bamberg, 1937.",,"?limit=30&query=facet_creator,exact,Schumacher++Karl+Heinz.+$$QSchumacher++Karl+Heinz.","<a href=""http://id.lib.harvard.edu/alma/990065539600203941/catalog"">http://id.lib.harvard.edu/alma/990065539600203941/catalog</a>",,"The author's thesis, Greifswald.""Literaturverzeichnis"": p. 167-172.",book,,"['OCLC: 21224239', 'HOLLIS+: 990065539600203941']",
469,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
470,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
471,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
472,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
473,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
474,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
475,La Gerusalemme liberata,"['Tasso, Torquato, 1544-1595. $$QTasso, Torquato, 1544-1595.', ""di Torquato Tasso. Colla vita dell' autore e note storiche ad ogni canto, per Giuseppe Bertinatti.""]",1844,"Bertinatti, Giuseppe.$$QBertinatti, Giuseppe.","Brusselle : Meline, Cans e Co., 1844.",,"?limit=30&query=facet_creator,exact,Tasso++Torquato++1544-1595.+$$QTasso++Torquato++1544-1595.","<a href=""http://id.lib.harvard.edu/alma/990036763190203941/catalog"">http://id.lib.harvard.edu/alma/990036763190203941/catalog</a>",,,book,"Crusades -- First, 1096-1099 -- Poetry.","['OCLC: 6062379', 'HOLLIS+: 990036763190203941']",
476,Lehrbuch der speciellen pathologie und therapie,"Niemeyer, Felix Von",1863,"Tolosa Latour, Manuel de ((Berlín)) ; Hirschwald, August ((Berlín))",Berlin: August Hirschwald,2 v.,"?limit=30&query=facet_creator,exact,Niemeyer++Felix+Von",,,,book,Anatomía Patológica--Obras Anteriores A 1900,HOLLIS+:,
477,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
478,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
479,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
480,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
481,Codex diplomaticus fuldensis,"['Fulda (Germany). (Benedictine Monastery)$$QFulda (Germany). (Benedictine Monastery)', 'Hrsg. von Ernst Friedrich Johann Dronke.']",1850,"['Dronke, Ernst Friedrich Johann, 1797-1849.$$QDronke, Ernst Friedrich Johann, 1797-1849.', 'Schmincke, Julius Ludwig Christian, 1811-$$QSchmincke, Julius Ludwig Christian, 1811-']","Cassel, T. Fischer, 1850.",,"?limit=30&query=facet_creator,exact,Fulda+(Germany).+(Benedictine+Monastery)$$QFulda+(Germany).+(Benedictine+Monastery)","<a href=""http://id.lib.harvard.edu/alma/990030326250203941/catalog"">http://id.lib.harvard.edu/alma/990030326250203941/catalog</a>",,"Issued in four instalments, 1847-1850.",book,"['Names, Personal -- Germany.', 'Names, Geographical -- Germany.', 'Monasteries -- Germany.', 'Ecclesiastical law -- Germany -- History.', 'Germany -- History -- To 1517 -- Sources.']","['OCLC: 22565206', 'HOLLIS+: 990030326250203941']",
482,Die Schule der Chemie,W. R.,,,,,"?limit=30&query=facet_creator,exact,W.+R.",,,,article,,"['HOLLIS+:', 'ISSN: 0028-0836']",
483,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
484,Das kloster Laach; ein beitrag zur specialgeschichte der Rheinlande,"Wegeler, Julius, 1807-1883. $$QWegeler, Julius, 1807-1883.",1854,,"Bonn, Henry & Cohen, 1854.",,"?limit=30&query=facet_creator,exact,Wegeler++Julius++1807-1883.+$$QWegeler++Julius++1807-1883.","<a href=""http://id.lib.harvard.edu/alma/990037865650203941/catalog"">http://id.lib.harvard.edu/alma/990037865650203941/catalog</a>",,,book,Abtei Maria Laach.,"['OCLC: 81398290', 'HOLLIS+: 990037865650203941']",
485,"['Jacob Benignus Bossuet, Bischofs von Meaux, Einleitung in die allgemeine Geschichte der Welt, bis auf Kaiser Carln den Grossen : für den ehmaligen Dauphin von Frankreich abgefasst.', 'Einleitung in die Geschichte der Welt und der Religion. ...']","['Bossuet, Jacques Bénigne, 1627-1704. $$QBossuet, Jacques Bénigne, 1627-1704.', 'Uebersetzt und mit einem Anhange historisch-critischer Abhandlungen vermehrt von Johann Andreas Cramer ...']",1757-1786,"Cramer, Johann Andreas, 1723-1788.$$QCramer, Johann Andreas, 1723-1788.","Leipzig : Verlegts Bernhard Christoph Breitkopf, 1757-1786.",,"?limit=30&query=facet_creator,exact,Bossuet++Jacques+Bénigne++1627-1704.+$$QBossuet++Jacques+Bénigne++1627-1704.","<a href=""http://id.lib.harvard.edu/alma/990027195040203941/catalog"">http://id.lib.harvard.edu/alma/990027195040203941/catalog</a>",,"Title page of vols. 2-7 reads: Jacob Benignus Bossuet, Bischofs von Meaux, Einleitung in die Geschichte der Welt und der Religion, fortgesetzt von D. Johann Andreas Cramer, ...Vols. 2-5: Zweite ... Auflage; edition statement varies.Published in parts.Includes index.Engraving: v. 1, first page.Errata: v. 7, last p.; v. 2, p. [656] of last group.""Anhang einiger historisch-critischen Abhandlungen. Von dem Range und Ansehen der römischen Bischöfe bei den allgemeinen Versammlungen der ersten Kirche."": v. 1, p. 595-694.""Ein Auszug aus Bandini Libris IV. Sententiarum. Tom. Fol. I., Viennae 1519 edit."": v. 7, p. 851-878.""Erster Anhang aus des Mingarelli Fascioculo Anecdotrum S. 171 u. f. Ed. Rom. 1756."" v. 8, p. 855-920. References:  Kayser, v. 1, p. 321.",book,World history -- Early works to 1800.,"['OCLC: 13480142', 'HOLLIS+: 990027195040203941']",
486,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
